pueblo;nave;sección;posición;provincia;firma;firma-domingo
Badalona (ur2, ur3, op);5;A;1;Barcelona;TRUE;TRUE
Centelles;5;A;2;Barcelona;FALSE;FALSE
Tona;5;A;2;Barcelona;FALSE;FALSE
Taradell;5;A;2;Barcelona;FALSE;FALSE
Prat lluçanes;5;A;4;Barcelona;FALSE;FALSE
Navarcles;5;A;4;Barcelona;FALSE;FALSE
Balsareny;5;A;4;Barcelona;FALSE;FALSE
Vilanova i la Geltrú;5;A;5;Barcelona;TRUE;TRUE
Esparreguera;5;A;6;Barcelona;FALSE;FALSE
Abrera;5;A;6;Barcelona;FALSE;FALSE
St Esteve Sesrovires;5;A;6;Barcelona;FALSE;FALSE
Sant Quirze de Besora;5;A;8;Barcelona;FALSE;FALSE
Torello;5;A;8;Barcelona;FALSE;FALSE
Manlleu;5;A;8;Barcelona;FALSE;FALSE
Sta Coloma (use);5;A;10;Barcelona;TRUE;TRUE
Sta Perpetua;5;B;1;Barcelona;FALSE;FALSE
La Llagosta;5;B;1;Barcelona;FALSE;FALSE
Polinya;5;B;1;Barcelona;FALSE;FALSE
Sentmenat;5;B;1;Barcelona;FALSE;FALSE
Roquetes;5;B;2;Barcelona;FALSE;FALSE
Sitges;5;B;2;Barcelona;FALSE;FALSE
St Pere de Ribes;5;B;2;Barcelona;FALSE;FALSE
Piera;5;B;3;Barcelona;FALSE;FALSE
Martorell;5;B;3;Barcelona;TRUE;TRUE
Masquefa;5;B;3;Barcelona;FALSE;FALSE
La Roca;5;B;4;Barcelona;FALSE;FALSE
Montmeló;5;B;4;Barcelona;FALSE;FALSE
Montornès;5;B;4;Barcelona;FALSE;FALSE
Vilanova del Vallès;5;B;4;Barcelona;FALSE;FALSE
Palafolls;5;B;5;Barcelona;FALSE;FALSE
Tordera;5;B;5;Barcelona;FALSE;FALSE
Pineda;5;B;5;Barcelona;FALSE;FALSE
Malgrat de Mar;5;B;5;Barcelona;FALSE;FALSE
Sta Margarida de Montbui;5;B;6;Barcelona;FALSE;FALSE
Capellades;5;B;6;Barcelona;FALSE;FALSE
Vilanova del Camí;5;B;6;Barcelona;FALSE;FALSE
Palautordera;5;B;7;Barcelona;FALSE;FALSE
Sant Celoni;5;B;7;Barcelona;FALSE;FALSE
Llinars;5;B;7;Barcelona;FALSE;FALSE
